Case ID,Field,Annotator A,Annotator B,Source Link(s) / Citation(s)
88,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/123
88,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/123
89,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/290
89,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/290
91,Recovery Complexity,High,Very High,https://incidentdatabase.ai/cite/1433
92,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/1109
94,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/981
95,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/934
95,Propagation Reach,P3 - Cross-organizational/ecosystem/public-scale,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/934
96,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/885
97,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/860
97,Risk Assessment,High,Moderate,https://incidentdatabase.ai/cite/860
99,Failure Category,Operational,Distributional,https://incidentdatabase.ai/cite/748
